Date,Adj Close,Close,High,Low,Open,Volume
6/25/2018,130.1260986,141.6141357,156.2266083,140.0166321,153.5484467,4956
6/26/2018,136.9907532,149.0848236,150.1654816,139.2648621,142.7887726,5468
6/27/2018,126.1540985,137.2914734,153.9243164,130.9954224,153.9243164,12779
6/28/2018,122.0093994,132.7808685,145.654892,131.5592499,132.5459442,3544
6/29/2018,132.1120911,143.7754669,145.654892,136.2108154,136.2108154,3939
7/2/2018,133.7958679,145.6078949,148.8498993,137.6673584,141.8960419,6394
7/3/2018,129.7807007,141.2382507,144.7151794,139.5467834,144.7151794,1645
7/4/2018,129.7807007,141.2382507,146.5945892,135.553009,146.4066467,2589
7/5/2018,129.9102325,141.3792114,147.5343018,141.0503082,142.6008301,936
7/6/2018,131.5076599,143.1176758,145.0910645,140.9563446,140.9563446,788
7/9/2018,135.1342773,147.0644531,152.0918884,143.1646576,148.1920929,3310
7/10/2018,136.213623,148.23909,150.447403,147.0174561,150.2124786,1662
7/11/2018,134.918396,146.8295135,149.3197479,146.1717224,148.4270325,725
7/12/2018,133.5368347,145.3259888,152.5147552,144.2923126,148.4740143,1474
7/13/2018,133.7527161,145.5609131,152.7026978,143.7754669,143.7754669,1030
7/16/2018,129.5216675,140.9563446,151.9509277,140.9563446,151.3871155,221
7/17/2018,128.0105743,139.3118439,146.0307617,138.6540527,140.9563446,1639
7/18/2018,128.0105743,139.3118439,143.6815033,139.1239014,143.6815033,1511
7/19/2018,124.7293472,135.7409515,140.3455353,134.8482361,137.5733948,3399
7/20/2018,124.9452133,135.9758759,138.137207,130.384613,135.7409515,1436
7/23/2018,125.333786,136.3987579,140.9093475,132.4989624,136.1638184,1197
7/24/2018,131.3781281,142.9767151,145.7958374,140.9563446,140.9563446,3743
7/25/2018,131.723526,143.3526001,148.4740143,142.1309814,146.1247406,1295
7/26/2018,133.0619202,144.8091431,146.4066467,140.9563446,140.9563446,1262
7/27/2018,132.5006409,144.1983337,147.4873199,141.8960419,143.4465637,1831
7/30/2018,136.4726715,148.5209961,152.1858673,142.9297333,142.9767151,2564
7/31/2018,133.1482544,144.9031219,150.2124786,141.8960419,145.654892,2532
8/1/2018,128.8740387,140.2515564,146.0307617,137.1975098,146.0307617,4195
8/2/2018,130.3851318,141.8960419,142.6478119,137.1975098,139.1239014,2168
8/3/2018,133.1482544,144.9031219,145.654892,142.0839844,142.6478119,5800
8/6/2018,129.1331024,140.5334778,148.4270325,139.5467834,145.7018738,2539
8/7/2018,131.6803589,143.3056183,144.5272369,140.0636139,144.3862762,964
8/8/2018,130.0397644,141.5201721,143.4935608,140.4864807,143.3056183,3297
8/9/2018,127.5788422,138.8419952,143.7754669,131.5592499,141.8960419,3376
8/10/2018,123.8658905,134.8012543,141.3322296,132.8278656,138.3251495,9854
8/13/2018,129.0899353,140.4864807,142.8357544,134.0024872,134.0024872,8639
8/14/2018,125.6360092,136.7276459,137.3384552,127.800415,133.0627899,8216
8/16/2018,125.376976,136.4457397,137.4324341,133.4386749,136.7276459,9397
8/17/2018,130.1260986,141.6141357,143.6815033,138.6540527,141.8020782,2359
8/20/2018,125.8087006,136.9155884,140.9563446,135.4120636,140.9563446,6344
8/21/2018,136.0409546,148.0511475,156.9313965,140.0166321,142.3659058,15381
8/23/2018,131.7667084,143.3995819,153.6424103,141.9900208,153.6424103,4758
8/24/2018,133.4504852,145.2320099,145.654892,141.8960419,141.8960419,917
8/27/2018,132.1120911,143.7754669,145.5609131,143.2116394,145.5139313,1634
8/28/2018,129.7375488,141.1912689,143.7754669,139.6877289,143.7754669,750
8/29/2018,133.0187531,144.7621613,145.5609131,141.4261932,141.4261932,1355
8/30/2018,132.2313995,142.0370026,146.6885681,140.9563446,140.9563446,2072
8/31/2018,136.6930542,146.8295135,148.4270325,138.6070709,145.5609131,2300
9/3/2018,131.3128204,141.0503082,147.5343018,140.1105957,147.5343018,17522
9/4/2018,128.9507599,138.513092,141.9430389,138.2781677,140.9563446,2392
